M270000017,大阪府大阪市東住吉区照ヶ丘矢田2-6-16 1F 
M270006514,大阪府大阪市都島区片町２－１１－４パティオ京橋４０２ 
M270006515,大阪府大阪市都島区片町２－１１－４パティオ京橋４０３ 
M270006516,大阪府大阪市都島区片町２－１１－４パティオ京橋４０５ 
M270006517,大阪府大阪市都島区片町２－１１－４パティオ京橋４０８ 
M270006518,大阪府大阪市都島区片町２－１１－４パティオ京橋４１０ 
M270006519,大阪府大阪市都島区片町２－１１－４パティオ京橋５０１ 
M270006520,大阪府大阪市都島区片町２－１１－４パティオ京橋５０２ 
M270006521,大阪府大阪市都島区片町２－１１－４パティオ京橋５０３ 
M270006522,大阪府大阪市都島区片町２－１１－４パティオ京橋５０５ 
M270006523,大阪府大阪市都島区片町２－１１－４パティオ京橋５０６ 
M270006524,大阪府大阪市都島区片町２－１１－４パティオ京橋５０７ 
M270006525,大阪府大阪市都島区片町２－１１－４パティオ京橋５０８ 
M270006526,大阪府大阪市都島区片町２－１１－４パティオ京橋５１０ 
M270006527,大阪府大阪市都島区片町２－１１－４パティオ京橋６０１ 
M270006528,大阪府大阪市都島区片町２－１１－４パティオ京橋６０２ 
M270006529,大阪府大阪市都島区片町２－１１－４パティオ京橋６０３ 
M270006530,大阪府大阪市都島区片町２－１１－４パティオ京橋６０５ 
M270006531,大阪府大阪市都島区片町２－１１－４パティオ京橋６０６ 
M270006532,大阪府大阪市都島区片町２－１１－４パティオ京橋６０７ 
M270006533,大阪府大阪市都島区片町２－１１－４パティオ京橋６０８ 
M270006534,大阪府大阪市都島区片町２－１１－４パティオ京橋６１０ 
M270006537,大阪府大阪市浪速区難波中２－５－１５　シティライフナンバ７０３ 
M270006538,大阪府大阪市浪速区難波中２－５－１５　シティライフナンバ５０２ 
M270006589,大阪府大阪市浪速区戎本町１－６－２２　シティライフエステート難波南３０３ 
M270006590,大阪府大阪市浪速区戎本町１－６－２２　シティライフエステート難波南３０６ 
M270006621,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ７０５号 
M270006622,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ３０５号 
M270006626,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ４０１号 
M270006627,大阪府大阪市西区新町３－１０－２１　アーバンプラザ３００１ 
M270006628,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ４０２号 
M270006629,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ４０５号 
M270006631,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ６０２号 
M270006632,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ６０３号 
M270006634,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ６０５号 
M270006676,大阪府大阪市西淀川区大野３－１－７福ビル1階・２階 
M270006750,大阪府大阪市中央区島之内２－５－３１　TSマンション302号室 
M270006751,大阪府大阪市中央区島之内２－５－３１　TSマンション303号室 
M270006752,大阪府大阪市中央区島之内２－５－３１　TSマンション305号室 
M270006753,大阪府大阪市中央区島之内２－５－３１　TSマンション402号室 
M270006754,大阪府大阪市中央区島之内２－５－３１　TSマンション501号室 
M270006818,大阪府大阪市中央区瓦屋町２－１８－８ 
M270006823,大阪府大阪市西成区長橋１－３－１９ 
M270006838,大阪府大阪市西成区萩之茶屋３－６－３ 
M270006877,大阪府大阪市中央区農人橋２－１－２５　ブリリアンコート農人橋６０３ 
M270006878,大阪府大阪市中央区農人橋２－１－２５　ブリリアンコート農人橋２０２ 
M270006879,大阪府大阪市中央区農人橋２－１－２５　ブリリアンコート農人橋３０１ 
M270006881,大阪府大阪市中央区農人橋２－１－２５　ブリリアンコート農人橋４０３ 
M270006915,大阪府大阪市浪速区敷津西１－１－２８ワキタビル２Ｂ 
M270006975,大阪府大阪市東淀川区下新庄３－８－６ 
M270006976,大阪府大阪市中央区島之内２－５－３３ＴＡＩＭＯＲＩ　ＫＩＮＧ　ＳＴＡＹ702 
M270006977,大阪府大阪市中央区島之内２－５－３３ＴＡＩＭＯＲＩ　ＫＩＮＧ　ＳＴＡＹ402 
M270006978,大阪府大阪市中央区島之内２－５－３３ＴＡＩＭＯＲＩ　ＫＩＮＧ　ＳＴＡＹ202 
M270006980,大阪府大阪市西成区玉出東１－５－１７ 
M270006991,大阪府大阪市中央区谷町６－１５－２０　ソレイユ谷町２０１号４０１号 
M270006994,大阪府大阪市浪速区恵美須西１－５－６レフィナード恵美須７０２ 
M270006995,大阪府大阪市浪速区恵美須西１－５－６レフィナード恵美須５０２ 
M270006996,大阪府大阪市浪速区恵美須西１－５－６レフィナード恵美須４０５ 
M270006998,大阪府大阪市浪速区恵美須西１－５－６レフィナード恵美須７０３ 
M270007000,大阪府大阪市浪速区恵美須西１－５－６レフィナード恵美須４０１ 
M270007001,大阪府大阪市中央区島之内２－５－４－２０６ 
M270007002,大阪府大阪市中央区島之内２－５－４－２０４ 
M270007003,大阪府大阪市中央区島之内２－５－４－２０７ 
M270007004,大阪府大阪市中央区島之内２－５－４－４０１ 
M270007005,大阪府大阪市中央区島之内２－５－４－６０４ 
M270007006,大阪府大阪市中央区島之内２－５－４－６０７ 
M270007007,大阪府大阪市中央区島之内２－５－４－１００４ 
M270007008,大阪府大阪市中央区島之内２－５－４－７０３ 
M270007009,大阪府大阪市中央区島之内２－５－４－７０５ 
M270007010,大阪府大阪市中央区島之内２－５－４－８０６ 
M270007011,大阪府大阪市中央区島之内２－５－４－１００５ 
M270007012,大阪府大阪市中央区島之内２－５－４－９０７ 
M270007013,大阪府大阪市中央区島之内２－５－４－１００６ 
M270007014,大阪府大阪市中央区島之内２－５－４－９０４ 
M270007015,大阪府大阪市中央区島之内２－５－４－１００７ 
M270007017,大阪府大阪市中央区島之内２－５－４－９０５ 
M270007018,大阪府大阪市中央区島之内２－５－４－１００１ 
M270007019,大阪府大阪市中央区島之内２－５－４－９０３ 
M270007020,大阪府大阪市中央区島之内２－５－４－１００３ 
M270007021,大阪府大阪市中央区島之内２－５－４－８０７ 
M270007025,大阪府大阪市浪速区敷津西１－９－７ランドマーク難波３　５０１、５０２ 
M270007026,大阪府大阪市浪速区敷津西１－９－７ランドマーク難波３　１０１ 
M270007030,大阪府大阪市北区本庄東３－１０－４ 
M270007042,大阪府大阪市浪速区敷津西１－１－２８ワキタビル３Ｄ号 
M270007065,大阪府大阪市浪速区下寺３－１８－５グリーンビュー天王寺６０１ 
M270007071,大阪府大阪市浪速区下寺３－１８－５グリーンビュー天王寺４０２ 
M270007072,大阪府大阪市浪速区下寺３－１８－５グリーンビュー天王寺４０１ 
M270007081,大阪府大阪市中央区島之内２－２－７　アビタシオン島之内６０１、６０２ 
M270007101,大阪府大阪市都島区東野田町３－１２－９京橋プルトンビル９０１ 
M270007102,大阪府大阪市都島区東野田町３－１２－９京橋プルトンビル９０２ 
M270007103,大阪府大阪市都島区東野田町３－１２－９京橋プルトンビル９０３ 
M270007104,大阪府大阪市都島区東野田町３－１２－９京橋プルトンビル９０８ 
M270007105,大阪府大阪市都島区東野田町３－１２－９京橋プルトンビル９０９ 
M270007125,大阪府大阪市中央区瓦屋町３－９－４アモーレ松屋町Ⅱ２０１ 
M270007133,大阪府大阪市浪速区敷津西１－９－７ランドマーク難波３　４０１、４０２ 
M270007134,大阪府大阪市浪速区敷津西１－９－７ランドマーク難波３　２０１、２０２ 
M270007135,大阪府大阪市浪速区敷津西１－９－７ランドマーク難波３　１０２ 
M270007136,大阪府大阪市浪速区敷津西１－９－７ランドマーク難波３　３０１、３０２ 
M270007154,大阪府大阪市北区中崎西１－１－２２　マンションJS１０１ 
M270007160,大阪府大阪市東住吉区湯里４－１２－２０ 
M270007162,大阪府大阪市中央区高津３－２－１１　ルイータ日本橋２０３ 
M270007164,大阪府大阪市中央区高津３－２－１１　ルイータ日本橋３０３ 
M270007165,大阪府大阪市中央区高津３－２－１１　ルイータ日本橋２０５ 
M270007166,大阪府大阪市都島区東野田町３－１２－９京橋プルトンビル９０４ 
M270007167,大阪府大阪市中央区高津３－２－１１　ルイータ日本橋３０５ 
M270007169,大阪府大阪市中央区高津３－２－１１　ルイータ日本橋８０３ 
M270007212,大阪府大阪市中央区谷町６－１６－１９　谷町テラスハウスⅠ 
M270007213,大阪府大阪市中央区谷町６－１６－１９　谷町テラスハウスⅡ 
M270007214,大阪府大阪市中央区谷町６－１６－１９　谷町テラスハウスⅢ 
M270007238,大阪府大阪市浪速区日本橋５－２１－９　カモンハイツ　１０２、２０２、２０５ 
M270007239,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西３０５、４０７、８０９、１００５ 
M270007287,大阪府大阪市城東区蒲生４－９－１２ 
M270007288,大阪府大阪市浪速区日本橋４－３－１３　プランドール難波６０４号室 
M270007289,大阪府大阪市浪速区日本橋４－３－１３　プランドール難波６０２号室 
M270007301,大阪府大阪市中央区日本橋２－１４－４アリタビル３０１、４０１ 
M270007303,大阪府大阪市此花区高見３－５－９ 
M270007304,大阪府大阪市住之江区安立３－５－６ 
M270007309,大阪府大阪市中央区島之内１－１３－５エスライズ心斎橋305 
M270007310,大阪府大阪市中央区島之内１－１３－５エスライズ心斎橋803 
M270007333,大阪府大阪市中央区日本橋1-20-9上東ビル３０１、３０２、４０２、４０３ 
M270007334,大阪府大阪市中央区高津３－９－５　第2高津グローリーハイツ２００４号室 
M270007349,大阪府大阪市浪速区難波中１－１６－１１レック難波ビル７０１ 
M270007350,大阪府大阪市中央区千日前２－３－１セブンマンション202 
M270007351,大阪府大阪市中央区千日前２－３－１セブンマンション203 
M270007352,大阪府大阪市中央区千日前２－３－１セブンマンション206 
M270007353,大阪府大阪市中央区千日前２－３－１セブンマンション301 
M270007354,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　２０１ 
M270007355,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　２０２ 
M270007356,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　２０３ 
M270007357,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　３０２ 
M270007358,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　６０１ 
M270007359,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　６０２ 
M270007360,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　６０３ 
M270007361,大阪府大阪市北区中津７－２－９ 
M270007362,大阪府大阪市浪速区大国２－１６－１８ 
M270007363,大阪府大阪市浪速区大国２－１０－８　ＹＢＬＤ　１０３、４０１、７０５号室 
M270007364,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ２０８号 
M270007365,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ２１２号 
M270007366,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ３０７号 
M270007367,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ３１１号 
M270007368,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ４０１号 
M270007369,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ４１１号 
M270007370,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ４１２号 
M270007371,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ６０３号 
M270007373,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ６０７号 
M270007375,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ６１１号 
M270007376,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ６１３号 
M270007377,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ７０２号 
M270007378,大阪府大阪市浪速区戎本町２－４－３　プライムハイツ８０５号 
M270007417,大阪府大阪市浪速区難波中１－１６－１１レック難波ビル５０１ 
M270007418,大阪府大阪市浪速区下寺３－１８－５グリーンビュー天王寺２０２ 
M270007423,大阪府大阪市東淀川区東中島１－２０－１２ユニゾーン新大阪６２１ 
M270007432,大阪府大阪市浪速区難波中１－１６－１１レック難波ビル６０１ 
M270007448,大阪府大阪市東淀川区東中島４－５－１０－３０１ 
M270007450,大阪府大阪市東淀川区東中島４－５－１０－１０１ 
M270007451,大阪府大阪市東淀川区東中島４－５－１０－２０１ 
M270007465,大阪府大阪市浪速区戎本町１－４－１６　トゥリオーニEBISU８０１ 
M270007536,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ４０１ 
M270007537,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ４０２ 
M270007538,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ５０３ 
M270007539,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ５０４ 
M270007540,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ６０３ 
M270007541,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ６０４ 
M270007542,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ８０１ 
M270007543,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ８０２ 
M270007544,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ９０１ 
M270007545,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト ９０２ 
M270007546,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト １００１ 
M270007547,大阪府大阪市西成区花園北２－１８－９ ティアラコートウエスト １００２ 
M270007559 大阪府大阪市,生野区小路東２－７－１５パール小路２０４ 
M270007565,大阪府大阪市浪速区敷津西１－６－２３ブエナビスタ難波南１０１・７０３ 
M270007570,大阪府大阪市浪速区敷津西２－８－２２ＳｋｙＣｉｔｙ２４　２０５ 
M270007572,大阪府大阪市浪速区日本橋５－２１－９　カモンハイツ　206 
M270007576,大阪府大阪市浪速区元町２－１３－３　ハクユウ元町２０７号室 
M270007577,大阪府大阪市中央区瓦屋町３－２－２４瓦屋町TYビル４０２ 
M270007625,大阪府大阪市浪速区大国２－９－２　エグゼ難波南V５０１ 
M270007626,大阪府大阪市浪速区大国２－９－２　エグゼ難波南V８０７ 
M270007627,大阪府大阪市浪速区大国２－９－２　エグゼ難波南V８０５ 
M270007628,大阪府大阪市浪速区大国２－９－２　エグゼ難波南V４０１ 
M270007630,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８０１ 
M270007678,大阪府大阪市中央区久太郎町1丁目３－１４CityLife本町５０１ 
M270007679,大阪府大阪市中央区久太郎町1丁目３－１４CityLife本町５０２ 
M270007681,大阪府大阪市中央区久太郎町1丁目３－１４CityLife本町５０３ 
M270007682,大阪府大阪市中央区久太郎町1丁目３－１４CityLife本町６０２ 
M270007684,大阪府大阪市中央区久太郎町1丁目３－１４CityLife本町７０２ 
M270007690,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９０１ 
M270007691,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９０２ 
M270007692,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９１３ 
M270007693,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９１５ 
M270007694,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９１６ 
M270007695,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８０２ 
M270007696,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８０５ 
M270007697,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９１２ 
M270007698,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９０５ 
M270007699,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８１６ 
M270007700,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８１７ 
M270007701,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８１８ 
M270007702,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８１０ 
M270007703,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８１１ 
M270007704,大阪府大阪市西成区花園北１－９－２９ロイヤル花園９０６ 
M270007705,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８１３ 
M270007706,大阪府大阪市西成区花園北１－９－２９ロイヤル花園８１５ 
M270007749,大阪府大阪市中央区谷町６－１４－１４　メルシアター空堀　３０１、７０３号室 
M270007771,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 203 
M270007773,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 205 
M270007774,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 303 
M270007775,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 306 
M270007776,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 403 
M270007777,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 405 
M270007778,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 406 
M270007779,大阪府大阪市西成区潮路１－４－２７ パークサイドＭ 407 
M270007790,大阪府大阪市浪速区恵美須東２－１－１３ 
M270007798,大阪府大阪市西成区橘１－２－９ 
M270007819,大阪府大阪市都島区中野町３－１３－７さくらマンション102 
M270007820,大阪府大阪市都島区中野町３－１３－７さくらマンション103 
M270007821,大阪府大阪市都島区中野町３－１３－７さくらマンション105 
M270007822,大阪府大阪市都島区中野町３－１３－７さくらマンション201 
M270007823,大阪府大阪市都島区中野町３－１３－７さくらマンション202 
M270007917,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西９０３号 
M270007919,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西８０５号 
M270007920,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西３０８号 
M270007921,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西１００９号 
M270007922,大阪府大阪市西成区萩之茶屋２－５－８ペントハウス８　２０１号室 
M270007923,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ２Ａ 
M270007924,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ２Ｂ 
M270007925,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ２Ｃ 
M270007926,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ２Ｄ 
M270007927,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ２Ｅ 
M270007942,大阪府大阪市北区中津３－２１－２０ 
M270007952,大阪府大阪市東淀川区東中島４－５－１４ 
M270007965,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ３Ａ 
M270007967,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ３Ｂ 
M270007968,大阪府大阪市中央区南船場１－９－２４STUDIO南船場２０２ 
M270007971,大阪府大阪市中央区南船場１－９－２４STUDIO南船場４０１ 
M270007972,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ３Ｃ 
M270007977,大阪府大阪市北区中津３－８－３ 
M270007986,大阪府大阪市浪速区元町２－１３－３　ハクユウ元町３０１号室 
M270007987,大阪府大阪市浪速区元町２－１３－３　ハクユウ元町７０４号室 
M270007988,大阪府大阪市浪速区元町２－１３－３　ハクユウ元町８０４号室 
M270007989,大阪府大阪市浪速区元町２－１３－３　ハクユウ元町１００７号室 
M270008005,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ３Ｄ 
M270008006,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ３Ｅ 
M270008008,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ４Ａ 
M270008010,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ４Ｂ 
M270008013,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ４Ｃ 
M270008018,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ４Ｄ 
M270008024,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ４Ｅ 
M270008029,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ５Ａ 
M270008033,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ５Ｂ 
M270008037,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ５Ｃ 
M270008040,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ５Ｄ 
M270008042,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ５Ｅ 
M270008055,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　203号室 
M270008056,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　205号室 
M270008057,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　302号室 
M270008058,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　306号室 
M270008060,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　307号室 
M270008062,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　310号室 
M270008064,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　405号室 
M270008065,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　406号室 
M270008066,大阪府大阪市浪速区戎本町２－４－９ 
M270008068,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　410号室 
M270008070,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　502号室 
M270008073,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　507号室 
M270008075,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　601号室 
M270008077,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　606号室 
M270008080,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　607号室 
M270008082,大阪府大阪市西成区萩之茶屋2丁目５－８ペントハウス８　608号室 
M270008087,大阪府大阪市浪速区大国３－４－１３ビジタルＨ＆Ｍ１０１・６０１号 
M270008088,大阪府大阪市浪速区大国３－４－１３ビジタルＨ＆Ｍ３０１号 
M270008094,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ６Ａ 
M270008095,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ６Ｂ 
M270008096,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ６Ｃ 
M270008097,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ６Ｄ 
M270008098,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ６Ｅ 
M270008102,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ７Ａ 
M270008103,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ７Ｂ 
M270008108,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ７Ｃ 
M270008109,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ７Ｄ 
M270008112,大阪府大阪市西区新町２－１７－２１ＧＡＴＥ８０心斎橋ｗｅｓｔ７Ｅ 
M270008116,大阪府大阪市中央区南船場４－１０－２２ 
M270008128,大阪府大阪市中央区高津３－１２－１３白雲荘１０１ 
M270008129,大阪府大阪市中央区高津３－１２－１３白雲荘２０１ 
M270008130,大阪府大阪市西区新町３－１０－２１アーバンプラザ４００４ 
M270008132,大阪府大阪市浪速区元町１－１１－４－２０２、３０２、４０２、５０２、６０２、７０２ 
M270008133,大阪府大阪市浪速区元町１－１１－４－２０１、３０１、４０１、５０１、６０１、７０１ 
M270008135,大阪府大阪市東成区中本１－４－１５　森の宮アスタービル４～６F 
M270008154,大阪府大阪市中央区西心斎橋１－１５－５　細井ビル２０１，２０２、２０３、２０５、３０１，３０２，４０１，４０２，５０２，５０３，５０４ 
M270008155,大阪府大阪市中央区西心斎橋１－１５－５細井ビル２０４、３０３，３０４，３０５，４０３，４０４，４０５，５０１，６０１ 
M270008185,大阪府大阪市淀川区塚本１－６－２６パークサイド塚本２０２ 
M270008189,大阪府大阪市東成区東中本２－１４－３　タウンハウス緑橋 
M270008227,大阪府大阪市浪速区日本橋東１－２－１４ ロイヤルミナミ５０２ 
M270008239,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション２０１ 
M270008240,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション２０２ 
M270008241,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション２０３ 
M270008242,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション２０４ 
M270008243,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション３０１ 
M270008244,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション３０２ 
M270008245,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション３０３ 
M270008246,大阪府大阪市浪速区木津川１－４－２８　グリーンマンション３０４ 
M270008248,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ３０１ 
M270008249,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ３０２ 
M270008250,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ３０３ 
M270008251,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ３０４ 
M270008254,大阪府大阪市中央区久太郎町１－３－１４ＣｉｔｙＬｉｆｅ本町４０２号 
M270008255,大阪府大阪市中央区久太郎町１－３－１４ＣｉｔｙＬｉｆｅ本町３０２号 
M270008334,大阪府大阪市生野区桃谷２－３－８メゾンピーチバレイ鶴橋302 
M270008335,大阪府大阪市浪速区敷津西１－３－２４アメニティ敷津１０３号 
M270008336,大阪府大阪市浪速区敷津西１－３－２４アメニティ敷津２０５号 
M270008340,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ５０２号 
M270008341,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ１０１号 
M270008342,大阪府大阪市浪速区芦原１－１－２３　ナンバウエストⅡ４０３号 
M270008347,大阪府大阪市浪速区難波中１－１６－１１レック難波ビル８０２ 
M270008348,大阪府大阪市浪速区難波中１－１６－１１レック難波ビル３０２ 
M270008349,大阪府大阪市浪速区難波中１－１６－１１レック難波ビル７０２ 
M270008357,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ４０１ 
M270008358,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ４０２ 
M270008359,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ４０３ 
M270008360,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ４０４ 
M270008361,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ５０１ 
M270008362,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ５０２ 
M270008363,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ５０３ 
M270008364,大阪府大阪市東成区東小橋２－４－２９ＭＯＮＤＯ－ＧＡＬＡＸＹ５０４ 
M270008385,大阪府大阪市浪速区恵美須東1－３－３第二那須アーバン４０３号 
M270008386,大阪府大阪市浪速区恵美須東1－３－３第二那須アーバン４０２号 
M270008387,大阪府大阪市浪速区恵美須東1－３－３第二那須アーバン３０３号 
M270008390,大阪府大阪市浪速区恵美須東1－３－３第二那須アーバン１０１号 
M270008391,大阪府大阪市浪速区恵美須東1－３－３第二那須アーバン１０２号 
M270008394,大阪府大阪市浪速区恵美須東1－３－３第二那須アーバン２０１号 
